CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
40900,Sacramento--Roseville--Arden-Arcade,California,PM10,2nd Max,4,64.0,65.3,60.3,49.0,68.0,60.5,63.8,58.5,74.5,42.8,42.5,49.0,35.3,50.5,36.3,39.6,36.8,62.3,162.8,54.0,119.5,50.3,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,Weighted Annual Mean,3,11.6,11.3,12.7,10.0,10.4,9.8,10.7,9.5,10.2,8.5,6.8,8.7,7.1,8.4,7.5,8.5,7.0,8.4,12.1,7.4,11.6,9.9,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,98th Percentile,3,43.0,46.0,45.0,31.0,33.0,33.0,37.0,37.0,32.0,25.0,22.0,31.0,17.0,25.0,19.0,24.0,19.0,31.0,65.0,24.0,46.0,31.0,38.602265,-121.381746
40900,Sacramento--Roseville--Arden-Arcade,California,SO2,99th Percentile,1,21.0,21.0,9.0,9.0,6.0,5.0,7.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,5.0,8.0,9.0,6.0,2.0,3.0,3.0,3.0,38.602265,-121.381746
41500,Salinas,California,CO,2nd Max,1,1.4,1.4,1.2,1.0,1.0,0.8,0.9,1.0,0.8,0.9,0.8,0.9,1.3,0.8,1.0,0.9,0.9,0.8,0.9,0.8,1.2,1.2,36.6744117,-121.655037
41500,Salinas,California,NO2,Annual Mean,1,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,36.6744117,-121.655037
41500,Salinas,California,NO2,98th Percentile,1,35.0,35.0,38.0,33.0,37.0,39.0,37.0,35.0,34.0,34.0,31.0,34.0,35.0,36.0,32.0,28.0,24.0,27.0,29.0,26.0,25.0,23.0,36.6744117,-121.655037
41500,Salinas,California,O3,4th Max,2,0.059,0.062,0.061,0.063,0.066,0.055,0.057,0.056,0.06,0.057,0.058,0.056,0.052,0.055,0.061,0.057,0.054,0.056,0.052,0.056,0.051,0.052,36.6744117,-121.655037
41500,Salinas,California,PM2.5,Weighted Annual Mean,1,7.9,8.7,9.1,7.3,7.0,6.8,7.1,7.0,7.2,5.8,6.6,6.3,5.5,6.6,4.6,4.6,5.3,5.6,6.1,4.2,6.8,4.8,36.6744117,-121.655037
41500,Salinas,California,PM2.5,98th Percentile,1,22.0,22.0,23.0,14.0,16.0,14.0,13.0,16.0,14.0,14.0,14.0,14.0,13.0,16.0,12.0,12.0,13.0,17.0,29.0,10.0,44.0,13.0,36.6744117,-121.655037
41740,San Diego-Carlsbad,California,NO2,Annual Mean,3,15.0,15.0,15.0,15.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,NO2,98th Percentile,3,64.0,63.0,63.0,66.0,62.0,55.0,57.0,53.0,54.0,49.0,45.0,42.0,41.0,40.0,42.0,38.0,38.0,38.0,36.0,33.0,34.0,35.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,O3,4th Max,5,0.078,0.08,0.077,0.073,0.077,0.073,0.075,0.075,0.081,0.073,0.071,0.069,0.068,0.067,0.07,0.068,0.071,0.076,0.067,0.066,0.076,0.068,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM10,2nd Max,1,45.0,49.0,45.0,65.0,43.0,50.0,49.0,51.0,38.0,52.0,41.0,34.0,36.0,35.0,37.0,36.0,42.0,40.0,38.0,36.0,55.0,44.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM2.5,Weighted Annual Mean,1,13.1,15.5,13.9,14.4,12.2,11.8,11.2,12.6,12.3,11.4,9.6,9.9,10.3,9.5,9.3,8.4,8.7,9.3,10.0,8.1,10.7,9.5,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM2.5,98th Percentile,1,33.0,31.0,36.0,39.0,31.0,30.0,24.0,36.0,28.0,22.0,19.0,19.0,24.0,18.0,19.0,19.0,18.0,29.0,29.0,17.0,31.0,24.0,32.716964,-117.170067
41860,San Francisco-Oakland-Hayward,California,CO,2nd Max,5,2.5,2.5,2.0,1.9,1.6,1.5,1.5,1.4,1.4,1.3,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.2,1.6,0.9,1.6,0.9,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,NO2,Annual Mean,6,16.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,6.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,NO2,98th Percentile,6,50.0,52.0,50.0,49.0,45.0,44.0,46.0,45.0,45.0,41.0,44.0,47.0,43.0,44.0,45.0,38.0,36.0,41.0,45.0,37.0,34.0,31.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,O3,4th Max,8,0.058,0.063,0.063,0.066,0.062,0.058,0.064,0.057,0.066,0.065,0.062,0.061,0.058,0.057,0.065,0.063,0.06,0.061,0.055,0.061,0.061,0.063,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,PM10,2nd Max,3,46.3,66.7,61.0,37.3,42.0,35.3,52.3,51.0,36.0,31.3,32.0,34.3,37.0,34.7,31.3,29.3,22.0,42.2,53.7,33.7,46.7,25.7,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,PM2.5,Weighted Annual Mean,4,11.2,11.6,12.9,9.4,10.0,9.1,9.6,8.6,9.6,9.0,8.4,8.5,7.5,9.2,7.2,7.7,7.3,9.8,11.7,7.0,10.5,7.3,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,PM2.5,98th Percentile,4,49.0,63.0,55.0,33.0,36.0,35.0,39.0,39.0,30.0,31.0,27.0,26.0,22.0,28.0,22.0,26.0,16.0,33.0,71.0,17.0,53.0,20.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,SO2,99th Percentile,5,21.0,21.0,23.0,19.0,19.0,18.0,21.0,19.0,19.0,12.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,37.778008,-122.431272
41940,San Jose-Sunnyvale-Santa Clara,California,O3,4th Max,6,0.067,0.074,0.08,0.078,0.071,0.064,0.079,0.066,0.073,0.071,0.073,0.065,0.064,0.064,0.069,0.068,0.064,0.067,0.06,0.062,0.067,0.068,37.493506100000005,-122.05674855420614
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,Annual Mean,1,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,98th Percentile,1,37.0,37.0,36.0,33.0,33.0,32.0,30.0,29.0,29.0,30.0,26.0,28.0,26.0,30.0,25.0,22.0,19.0,23.0,20.0,17.0,17.0,16.0,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,O3,4th Max,4,0.062,0.069,0.067,0.067,0.067,0.062,0.063,0.061,0.065,0.061,0.063,0.06,0.058,0.057,0.062,0.06,0.06,0.06,0.057,0.057,0.06,0.056,35.243761,-120.685455
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,SO2,99th Percentile,1,99.0,110.0,114.0,100.0,106.0,104.0,102.0,71.0,28.0,5.0,4.0,4.0,5.0,53.0,4.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,35.243761,-120.685455
42100,Santa Cruz-Watsonville,California,O3,4th Max,1,0.057,0.056,0.054,0.059,0.061,0.051,0.054,0.053,0.057,0.057,0.054,0.056,0.049,0.049,0.062,0.057,0.052,0.06,0.054,0.052,0.048,0.052,36.919166,-121.770556
42100,Santa Cruz-Watsonville,California,PM2.5,Weighted Annual Mean,1,7.9,9.1,8.6,7.4,7.2,7.0,6.8,6.4,6.8,5.7,6.5,6.5,5.8,6.7,5.4,4.9,5.3,7.1,8.3,6.5,8.2,4.9,36.919166,-121.770556
42100,Santa Cruz-Watsonville,California,PM2.5,98th Percentile,1,18.0,23.0,22.0,14.0,13.0,13.0,13.0,16.0,13.0,12.0,13.0,14.0,12.0,14.0,12.0,10.0,11.0,21.0,41.0,12.0,52.0,12.0,36.919166,-121.770556
42200,Santa Maria-Santa Barbara,California,CO,2nd Max,2,1.1,1.1,1.2,1.0,0.9,0.8,1.3,1.1,1.1,0.7,0.5,0.6,0.6,0.6,0.6,0.5,3.2,1.3,0.7,0.5,0.7,0.6,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,NO2,Annual Mean,6,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,NO2,98th Percentile,5,21.0,20.0,19.0,21.0,18.0,16.0,16.0,16.0,15.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,9.0,11.0,11.0,10.0,9.0,8.0,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,O3,4th Max,8,0.066,0.065,0.063,0.067,0.07,0.06,0.061,0.064,0.065,0.066,0.063,0.058,0.058,0.058,0.066,0.06,0.059,0.058,0.054,0.056,0.057,0.051,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,PM2.5,Weighted Annual Mean,1,9.9,10.4,9.5,8.6,7.5,7.5,7.5,7.9,7.9,6.9,6.2,7.7,7.6,7.6,7.8,7.7,7.0,7.3,7.0,4.8,7.9,7.9,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,PM2.5,98th Percentile,1,19.0,23.0,19.0,16.0,13.0,13.0,13.0,16.0,15.0,14.0,13.0,15.0,17.0,16.0,15.0,16.0,15.0,17.0,19.0,12.0,36.0,36.0,34.9531295,-120.435857
42200,Santa Maria-Santa Barbara,California,SO2,99th Percentile,4,6.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,4.0,3.0,4.0,4.0,18.0,12.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,34.9531295,-120.435857
42220,Santa Rosa,California,O3,4th Max,1,0.061,0.065,0.065,0.058,0.06,0.05,0.056,0.06,0.058,0.051,0.053,0.056,0.058,0.055,0.062,0.059,0.055,0.062,0.055,0.052,0.052,0.052,38.4404925,-122.7141049
42220,Santa Rosa,California,PM10,2nd Max,3,32.3,35.7,29.3,25.0,25.3,27.3,27.7,26.7,31.3,22.0,26.0,34.7,26.0,26.7,35.0,47.7,39.0,122.0,189.7,45.3,120.0,44.7,38.4404925,-122.7141049
43760,Sonora,California,O3,4th Max,1,0.085,0.079,0.09,0.087,0.075,0.081,0.079,0.084,0.098,0.077,0.072,0.074,0.075,0.07,0.075,0.076,0.088,0.077,0.084,0.069,0.08,0.068,37.9840911,-120.3821381
44700,Stockton-Lodi,California,NO2,Annual Mean,1,21.0,19.0,21.0,18.0,17.0,17.0,18.0,16.0,17.0,15.0,14.0,15.0,14.0,16.0,13.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0,38.123974,-121.282052
44700,Stockton-Lodi,California,NO2,98th Percentile,1,68.0,68.0,64.0,65.0,54.0,58.0,60.0,56.0,63.0,54.0,49.0,51.0,52.0,57.0,54.0,48.0,45.0,52.0,58.0,58.0,54.0,54.0,38.123974,-121.282052
44700,Stockton-Lodi,California,O3,4th Max,1,0.076,0.076,0.074,0.075,0.073,0.073,0.083,0.075,0.077,0.07,0.07,0.066,0.072,0.064,0.071,0.069,0.066,0.065,0.068,0.065,0.067,0.057,38.123974,-121.282052
44700,Stockton-Lodi,California,PM10,2nd Max,1,86.0,97.0,78.0,63.0,56.0,76.0,80.0,68.0,83.0,57.0,49.0,53.0,58.0,69.0,67.0,51.0,54.0,86.0,173.0,68.0,113.0,113.0,38.123974,-121.282052
44700,Stockton-Lodi,California,PM2.5,Weighted Annual Mean,1,15.5,13.9,16.7,13.6,13.2,12.5,13.1,12.9,14.4,11.3,10.6,11.3,12.4,17.7,12.1,12.8,11.8,12.1,17.6,9.3,14.0,12.1,38.123974,-121.282052
44700,Stockton-Lodi,California,PM2.5,98th Percentile,1,55.0,58.0,50.0,41.0,36.0,44.0,42.0,48.0,62.0,40.0,30.0,45.0,34.0,56.0,45.0,39.0,32.0,44.0,92.0,33.0,81.0,40.0,38.123974,-121.282052
46020,Truckee-Grass Valley,California,O3,4th Max,1,0.1,0.095,0.099,0.101,0.093,0.093,0.096,0.088,0.091,0.083,0.077,0.076,0.075,0.078,0.081,0.084,0.086,0.09,0.095,0.072,0.08,0.09,36.27414,-115.07139
46380,Ukiah,California,O3,4th Max,1,0.053,0.052,0.06,0.06,0.055,0.057,0.06,0.053,0.061,0.053,0.047,0.043,0.057,0.055,0.052,0.053,0.048,0.057,0.053,0.051,0.059,0.061,39.1501662,-123.2077861
46380,Ukiah,California,PM2.5,Weighted Annual Mean,1,7.2,8.0,9.1,7.4,7.0,6.2,6.8,4.7,7.9,11.6,6.5,7.6,4.9,5.2,5.5,8.6,6.4,9.4,11.3,6.0,10.3,9.0,39.1501662,-123.2077861
46380,Ukiah,California,PM2.5,98th Percentile,1,19.0,27.0,40.0,15.0,14.0,15.0,17.0,13.0,31.0,20.0,14.0,15.0,15.0,15.0,14.0,22.0,16.0,34.0,60.0,15.0,62.0,32.0,39.1501662,-123.2077861
46700,Vallejo-Fairfield,California,CO,2nd Max,1,5.0,4.1,3.7,2.9,3.1,3.0,2.7,2.6,2.0,2.2,1.9,2.4,2.1,2.0,2.0,1.8,1.8,1.9,2.1,1.5,1.7,1.6,38.273076,-122.041473
46700,Vallejo-Fairfield,California,NO2,Annual Mean,1,13.0,13.0,13.0,12.0,12.0,11.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,38.273076,-122.041473
46700,Vallejo-Fairfield,California,NO2,98th Percentile,1,46.0,45.0,45.0,44.0,43.0,43.0,43.0,43.0,45.0,39.0,39.0,43.0,41.0,43.0,43.0,38.0,36.0,42.0,41.0,41.0,42.0,42.0,38.273076,-122.041473
46700,Vallejo-Fairfield,California,O3,4th Max,2,0.059,0.066,0.068,0.071,0.067,0.056,0.067,0.058,0.068,0.067,0.065,0.065,0.062,0.058,0.064,0.066,0.063,0.06,0.053,0.059,0.063,0.064,38.273076,-122.041473
46700,Vallejo-Fairfield,California,PM10,2nd Max,1,44.0,70.0,43.0,27.0,40.0,32.0,46.0,28.0,39.0,25.0,32.0,25.0,25.0,30.0,25.0,30.0,23.0,51.0,105.0,35.0,41.0,47.0,38.273076,-122.041473
46700,Vallejo-Fairfield,California,PM2.5,Weighted Annual Mean,1,11.6,12.5,14.0,9.4,11.1,9.7,9.8,9.8,9.9,9.7,7.7,9.8,9.0,9.9,9.9,9.6,7.4,11.6,13.3,8.6,12.0,8.4,38.273076,-122.041473
46700,Vallejo-Fairfield,California,PM2.5,98th Percentile,1,60.0,78.0,71.0,27.0,39.0,41.0,41.0,40.0,41.0,37.0,26.0,31.0,21.0,33.0,24.0,31.0,19.0,42.0,83.0,19.0,52.0,24.0,38.273076,-122.041473
46700,Vallejo-Fairfield,California,SO2,99th Percentile,1,12.0,12.0,11.0,10.0,13.0,10.0,11.0,9.0,8.0,7.0,7.0,5.0,4.0,4.0,7.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,38.273076,-122.041473
47300,Visalia-Porterville,California,NO2,Annual Mean,1,18.0,18.0,19.0,18.0,16.0,16.0,14.0,15.0,14.0,15.0,13.0,12.0,12.0,13.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,8.0,36.063651,-119.021974
47300,Visalia-Porterville,California,NO2,98th Percentile,1,66.0,66.0,81.0,74.0,62.0,60.0,57.0,59.0,68.0,57.0,56.0,50.0,53.0,53.0,54.0,46.0,51.0,56.0,53.0,55.0,48.0,39.0,36.063651,-119.021974
47300,Visalia-Porterville,California,O3,4th Max,2,0.102,0.102,0.105,0.103,0.094,0.101,0.098,0.093,0.109,0.095,0.095,0.088,0.092,0.082,0.084,0.088,0.085,0.088,0.09,0.08,0.09,0.094,36.063651,-119.021974
47300,Visalia-Porterville,California,PM2.5,Weighted Annual Mean,1,23.9,22.5,23.2,18.2,17.0,18.8,18.8,20.4,19.8,16.0,13.6,16.1,14.8,18.9,17.9,16.1,14.7,16.3,17.3,12.9,19.6,20.7,36.063651,-119.021974
47300,Visalia-Porterville,California,PM2.5,98th Percentile,1,103.0,96.0,70.0,47.0,54.0,65.0,50.0,60.0,62.0,54.0,36.0,51.0,54.0,63.0,75.0,46.0,41.0,75.0,63.0,46.0,83.0,69.0,36.063651,-119.021974
49700,Yuba City,California,NO2,Annual Mean,1,13.0,14.0,15.0,14.0,12.0,12.0,12.0,12.0,12.0,9.0,8.0,8.0,10.0,10.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,39.1404477,-121.6169108
49700,Yuba City,California,NO2,98th Percentile,1,62.0,62.0,62.0,62.0,52.0,51.0,53.0,47.0,54.0,47.0,45.0,44.0,46.0,52.0,44.0,39.0,40.0,42.0,41.0,40.0,38.0,34.0,39.1404477,-121.6169108
49700,Yuba City,California,O3,4th Max,2,0.081,0.077,0.09,0.085,0.076,0.075,0.083,0.075,0.078,0.069,0.067,0.07,0.073,0.066,0.072,0.068,0.072,0.074,0.073,0.063,0.075,0.075,39.1404477,-121.6169108
49700,Yuba City,California,PM2.5,Weighted Annual Mean,1,10.6,11.9,13.1,9.5,10.0,9.5,11.3,8.2,10.7,7.9,5.9,8.0,6.9,8.2,9.4,9.6,8.1,9.3,10.3,8.4,16.4,14.5,39.1404477,-121.6169108
49700,Yuba City,California,PM2.5,98th Percentile,1,38.0,54.0,34.0,29.0,38.0,42.0,41.0,34.0,65.0,28.0,17.0,37.0,24.0,25.0,25.0,31.0,22.0,32.0,37.0,27.0,91.0,45.0,39.1404477,-121.6169108
